Anshi National Park,Uttar_Kannada,Evergreen tropical rainforest and tiger reserve,"Jungle trekking, Wildlife spotting, Bird watching",,,
Sahasralinga,Uttar_Kannada,Thousands of Shiva Lingas carved on rocks in the river,"Religious visit, Nature photography, River exploration",,,
Sirsi Marikamba Temple,Uttar_Kannada,Famous for its massive wooden chariot,"Pilgrimage, Viewing temple murals, Cultural study",,,
Magod Falls,Uttar_Kannada,Two-step waterfall formed by the Bedti river,"Landscape photography, Picnic, Nature walks",,,
Sathodi Falls,Uttar_Kannada,Known as the 'Mini Niagara' of Uttara Kannada,"Forest trekking, Swimming, Photography",,,
Apsarakonda Falls,Uttar_Kannada,Coastal waterfall with a mythical 'pond of nymphs',"Sea-view trekking, Sunset viewing, Photography",,,
Idagunji Ganesha Temple,Uttar_Kannada,Ancient temple with a 1500-year-old idol,"Pilgrimage, Architecture study, Religious visit",,,
Banavasi Madhukeshwara Temple,Uttar_Kannada,Capital of the ancient Kadamba dynasty,"History tour, Stone carving study, Pilgrimage",,,
Gudavi Bird Sanctuary,Uttar_Kannada,Lake sanctuary attracting thousands of migratory birds,"Bird watching, Nature walks, Photography",,,
Shivaganga Falls,Uttar_Kannada,River Shalmala drops 74 meters into a deep valley,"Viewpoint viewing, Nature photography, Trekking",,,
Majali Beach,Uttar_Kannada,Quiet beach near the Goa border,"Kayaking, Row boating, Quiet relaxation",,,
