id,name,district,intro,hint1,hint2,hint3,fact1,fact2,fact3
80,Gaddige Raja's Tomb,Coorg,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Royal tombs with Indo-Saracenic architecture.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, photography, architecture appreciation -- a well-loved spot in Coorg district.",Category: Attraction,Known for: Royal tombs with Indo-Saracenic architecture,"Popular activities: History tour, Photography, Architecture appreciation"
81,Pushpagiri Wildlife Sanctuary,Coorg,"Somewhere in Karnataka, this wildlife sanctuary holds a story worth uncovering.",Known for trekking and diverse birdlife.,"It's a well-known wildlife sanctuary, popular for trekking.","Visitors flock here for trekking, bird watching, nature photography -- a well-loved spot in Coorg district.",Category: Wildlife Sanctuary,Known for: Known for trekking and diverse birdlife,"Popular activities: Trekking, Bird watching, Nature photography"
82,Panambur Beach,Mangaluru,"Somewhere in Karnataka, this beach holds a story worth uncovering.",One of the cleanest and safest beaches.,"It's a well-known beach, popular for swimming.","Visitors flock here for swimming, boating, water sports -- a well-loved spot in Mangaluru district.",Category: Beach,Known for: One of the cleanest and safest beaches,"Popular activities: Swimming, Boating, Water sports"
83,Kadri Manjunath Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple with bronze statues.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, history tour -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Ancient temple with bronze statues,"Popular activities: Pilgrimage, Architecture study, History tour"
84,Mangaladevi Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Temple dedicated to Goddess Mangaladevi.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, cultural events, architecture study -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Temple dedicated to Goddess Mangaladevi,"Popular activities: Pilgrimage, Cultural events, Architecture study"
85,St. Aloysius Chapel,Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Chapel with stunning frescoes by Italian artist Antonio Moscheni.,"It's a well-known attraction, popular for art appreciation.","Visitors flock here for art appreciation, photography, spiritual visit -- a well-loved spot in Mangaluru district.",Category: Attraction,Known for: Chapel with stunning frescoes by Italian artist Antonio Moscheni,"Popular activities: Art appreciation, Photography, Spiritual visit"
86,Tannirbhavi Beach,Mangaluru,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Secluded beach with a lighthouse and tree park.,"It's a well-known beach, popular for sunset viewing.","Visitors flock here for sunset viewing, swimming, relaxation -- a well-loved spot in Mangaluru district.",Category: Beach,Known for: Secluded beach with a lighthouse and tree park,"Popular activities: Sunset viewing, Swimming, Relaxation"
87,Gokarnanatheshwara Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.","Dedicated to Lord Shiva, built in Dravidian style.","It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture appreciation, cultural events -- a well-loved spot in Mangaluru district.",Category: Temple,"Known for: Dedicated to Lord Shiva, built in Dravidian style","Popular activities: Pilgrimage, Architecture appreciation, Cultural events"
88,Sultan Battery,Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Watchtower built by Tipu Sultan.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, photography, river views -- a well-loved spot in Mangaluru district.",Category: Attraction,Known for: Watchtower built by Tipu Sultan,"Popular activities: History tour, Photography, River views"
89,Pilikula Nisargadhama,Mangaluru,"Somewhere in Karnataka, this lake holds a story worth uncovering.","Integrated theme park with zoo, botanical garden, and lake.","It's a well-known lake, popular for boating.","Visitors flock here for boating, zoo visit, botanical garden walk -- a well-loved spot in Mangaluru district.",Category: Lake,"Known for: Integrated theme park with zoo, botanical garden, and lake","Popular activities: Boating, Zoo visit, Botanical garden walk"
90,Ullal Beach,Mangaluru,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Scenic beach with fishing villages.,"It's a well-known beach, popular for swimming.","Visitors flock here for swimming, sunset viewing, local seafood -- a well-loved spot in Mangaluru district.",Category: Beach,Known for: Scenic beach with fishing villages,"Popular activities: Swimming, Sunset viewing, Local seafood"
91,Milagres Church,Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.","Historic church, one of the oldest in the region.","It's a well-known attraction, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, history tour -- a well-loved spot in Mangaluru district.",Category: Attraction,"Known for: Historic church, one of the oldest in the region","Popular activities: Pilgrimage, Architecture study, History tour"
92,Kaup Beach,Mangaluru,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Beach with a lighthouse and historical ruins.,"It's a well-known beach, popular for lighthouse climbing.","Visitors flock here for lighthouse climbing, sunset viewing, photography -- a well-loved spot in Mangaluru district.",Category: Beach,Known for: Beach with a lighthouse and historical ruins,"Popular activities: Lighthouse climbing, Sunset viewing, Photography"
93,Kudroli Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Rebuilt grand temple dedicated to Shiva.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, festival participation, architecture appreciation -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Rebuilt grand temple dedicated to Shiva,"Popular activities: Pilgrimage, Festival participation, Architecture appreciation"
94,Netravathi River Bridge,Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Scenic bridge offering views of the river and city.,"It's a well-known attraction, popular for photography.","Visitors flock here for photography, evening strolls -- a well-loved spot in Mangaluru district.",Category: Attraction,Known for: Scenic bridge offering views of the river and city,"Popular activities: Photography, Evening strolls"
95,Bejai Museum (Seemanthi Bai Government Museum),Mangaluru,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Archaeological and historical artifacts.,"It's a well-known museum, popular for history tour.","Visitors flock here for history tour, cultural study -- a well-loved spot in Mangaluru district.",Category: Museum,Known for: Archaeological and historical artifacts,"Popular activities: History tour, Cultural study"
96,New Mangalore Port,Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",One of India's major ports.,"It's a well-known attraction, popular for port views.","Visitors flock here for port views, photography -- a well-loved spot in Mangaluru district.",Category: Attraction,Known for: One of India's major ports,"Popular activities: Port views, Photography"
97,Kateel Durga Parameshwari Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Temple on an island in the Nandini River.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, river views, religious rituals -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Temple on an island in the Nandini River,"Popular activities: Pilgrimage, River views, Religious rituals"
98,Moodabidri (Jain Kashi),Mangaluru,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic Jain center with 1000 Pillar Basadi.,"It's a well-known attraction, popular for architecture study.","Visitors flock here for architecture study, spiritual visit, history tour -- a well-loved spot in Mangaluru district.",Category: Attraction,Known for: Historic Jain center with 1000 Pillar Basadi,"Popular activities: Architecture study, Spiritual visit, History tour"
99,Karinjeshwara Temple,Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple with panoramic views.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, trekking, viewpoint photography -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Hilltop temple with panoramic views,"Popular activities: Pilgrimage, Trekking, Viewpoint photography"
100,Shri Krishna Math (Udupi),Mangaluru,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous for Lord Krishna temple and unique worship.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, cultural experience, temple food (prasada) -- a well-loved spot in Mangaluru district.",Category: Temple,Known for: Famous for Lord Krishna temple and unique worship,"Popular activities: Pilgrimage, Cultural experience, Temple food (prasada)"
101,Malpe Beach (Udupi),Mangaluru,"Somewhere in Karnataka, this beach holds a story worth uncovering.",Famous for St. Mary's Island and water sports.,"It's a well-known beach, popular for water sports.","Visitors flock here for water sports, island visit, sunset viewing -- a well-loved spot in Mangaluru district.",Category: Beach,Known for: Famous for St. Mary's Island and water sports,"Popular activities: Water sports, Island visit, Sunset viewing"
102,Bhoga Nandeeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",9th-century temple with intricate carvings.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, history tour, pilgrimage -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: 9th-century temple with intricate carvings,"Popular activities: Architecture photography, History tour, Pilgrimage"
103,Skandagiri (Kalavara Durga),Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Famous night trekking destination with mountain views.,"It's a well-known attraction, popular for night trekking.","Visitors flock here for night trekking, camping, sunrise viewing -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Famous night trekking destination with mountain views,"Popular activities: Night trekking, Camping, Sunrise viewing"
104,Skandagiri Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple at the base of the hill.,"It's a well-known temple, popular for religious visit.","Visitors flock here for religious visit, architecture study -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Ancient temple at the base of the hill,"Popular activities: Religious visit, Architecture study"
105,Yoga Nandeeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Temple located at the top of Nandi Hills.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, viewing the hill range -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Temple located at the top of Nandi Hills,"Popular activities: Pilgrimage, Architecture study, Viewing the hill range"
106,Vivekananda Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Seasonal waterfall located near the hills.,"It's a well-known waterfall, popular for nature trekking.","Visitors flock here for nature trekking, photography, relaxation -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Seasonal waterfall located near the hills,"Popular activities: Nature trekking, Photography, Relaxation"
107,Muddenahalli,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Birthplace of Sir M. Visvesvaraya.,"It's a well-known attraction, popular for visiting the museum.","Visitors flock here for visiting the museum, history tour, educational visit -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Birthplace of Sir M. Visvesvaraya,"Popular activities: Visiting the museum, History tour, Educational visit"
108,Kaveripura (Sir M.V. Museum),Chikkaballapur,"Somewhere in Karnataka, this museum holds a story worth uncovering.",Museum dedicated to India's greatest engineer.,"It's a well-known museum, popular for exploring artifacts.","Visitors flock here for exploring artifacts, history study, photography -- a well-loved spot in Chikkaballapur district.",Category: Museum,Known for: Museum dedicated to India's greatest engineer,"Popular activities: Exploring artifacts, History study, Photography"
109,Ranganatha Swamy Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple dedicated to Lord Ranganatha.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, watching traditional rituals -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Ancient temple dedicated to Lord Ranganatha,"Popular activities: Pilgrimage, Watching traditional rituals"
110,Kaiwara,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic town associated with the poet Kaiwara Tatayya.,"It's a well-known attraction, popular for religious visit.","Visitors flock here for religious visit, visiting the ashram, cave exploration -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Historic town associated with the poet Kaiwara Tatayya,"Popular activities: Religious visit, Visiting the ashram, Cave exploration"
111,Kailasagiri,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hillock with cave temples and panoramic views.,"It's a well-known temple, popular for trekking.","Visitors flock here for trekking, cave exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Hillock with cave temples and panoramic views,"Popular activities: Trekking, Cave exploration, Photography"
112,Chintamani,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Major trade center known for silk and incense.,"It's a well-known attraction, popular for local shopping.","Visitors flock here for local shopping, market exploration, food tasting -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Major trade center known for silk and incense,"Popular activities: Local shopping, Market exploration, Food tasting"
113,Srinivasa Sagara,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Scenic reservoir and dam site.,"It's a well-known attraction, popular for picnic.","Visitors flock here for picnic, bird watching, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Scenic reservoir and dam site,"Popular activities: Picnic, Bird watching, Photography"
114,Gummanayaka Kote,Chikkaballapur,"Somewhere in Karnataka, this fort holds a story worth uncovering.",14th-century hill fort ruins.,"It's a well-known fort, popular for adventure trekking.","Visitors flock here for adventure trekking, history exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Fort,Known for: 14th-century hill fort ruins,"Popular activities: Adventure trekking, History exploration, Photography"
115,Avalabetta,Chikkaballapur,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Quiet hill station known as the 'Nandi Hills without the crowd'.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, landscape photography, cliff viewing -- a well-loved spot in Chikkaballapur district.",Category: Hill/Viewpoint,Known for: Quiet hill station known as the 'Nandi Hills without the crowd',"Popular activities: Trekking, Landscape photography, Cliff viewing"
116,Vidurashwatha,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Known as the 'Jallianwala Bagh of the South'.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, visiting the martyr's memorial, pilgrimage -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Known as the 'Jallianwala Bagh of the South',"Popular activities: History tour, Visiting the martyr's memorial, Pilgrimage"
117,Jaramadagu Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Hidden multi-step waterfall in the forest.,"It's a well-known waterfall, popular for forest trekking.","Visitors flock here for forest trekking, photography, nature walks -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Hidden multi-step waterfall in the forest,"Popular activities: Forest trekking, Photography, Nature walks"
118,Ghatikallu,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Massive rock formation and trekking spot.,"It's a well-known attraction, popular for rock climbing.","Visitors flock here for rock climbing, trekking, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Massive rock formation and trekking spot,"Popular activities: Rock climbing, Trekking, Photography"
119,Minakanagurki,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Center for rural empowerment and education.,"It's a well-known attraction, popular for social study.","Visitors flock here for social study, educational tour, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Center for rural empowerment and education,"Popular activities: Social study, Educational tour, Photography"
120,Sathi Falls,Chikkaballapur,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Seasonal waterfall ideal for a quick getaway.,"It's a well-known waterfall, popular for nature photography.","Visitors flock here for nature photography, picnic, short trekking -- a well-loved spot in Chikkaballapur district.",Category: Waterfall,Known for: Seasonal waterfall ideal for a quick getaway,"Popular activities: Nature photography, Picnic, Short trekking"
121,Venkataramana Swamy Temple (Alamgiri),Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historic temple with Hoysala influence.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, pilgrimage, history tour -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Historic temple with Hoysala influence,"Popular activities: Architecture photography, Pilgrimage, History tour"
122,Bhimeshwara Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Cave temple dedicated to Lord Shiva.,"It's a well-known temple, popular for spiritual retreat.","Visitors flock here for spiritual retreat, cave exploration, photography -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Cave temple dedicated to Lord Shiva,"Popular activities: Spiritual retreat, Cave exploration, Photography"
123,Bagepalli (Silk Hub),Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Center for sericulture and silk production.,"It's a well-known attraction, popular for watching silk weaving.","Visitors flock here for watching silk weaving, factory visit, shopping -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: Center for sericulture and silk production,"Popular activities: Watching silk weaving, Factory visit, Shopping"
124,Gudibande Fort,Chikkaballapur,"Somewhere in Karnataka, this fort holds a story worth uncovering.",7-layered fort modeled after the Madhugiri Fort.,"It's a well-known fort, popular for fort trekking.","Visitors flock here for fort trekking, history study, viewing the surrounding lakes -- a well-loved spot in Chikkaballapur district.",Category: Fort,Known for: 7-layered fort modeled after the Madhugiri Fort,"Popular activities: Fort trekking, History study, Viewing the surrounding lakes"
125,Amani Byrasagara Lake,Chikkaballapur,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Large lake near Gudibande town.,"It's a well-known lake, popular for bird watching.","Visitors flock here for bird watching, evening walks, photography -- a well-loved spot in Chikkaballapur district.",Category: Lake,Known for: Large lake near Gudibande town,"Popular activities: Bird watching, Evening walks, Photography"
126,Grover Zampa Vineyards,Chikkaballapur,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",One of India's oldest winery estates.,"It's a well-known attraction, popular for wine tasting tours.","Visitors flock here for wine tasting tours, learning about viticulture, photography -- a well-loved spot in Chikkaballapur district.",Category: Attraction,Known for: One of India's oldest winery estates,"Popular activities: Wine tasting tours, Learning about viticulture, Photography"
127,Mandikal Hills,Chikkaballapur,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Trekking spot with lush greenery after rain.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, nature walks, photography -- a well-loved spot in Chikkaballapur district.",Category: Hill/Viewpoint,Known for: Trekking spot with lush greenery after rain,"Popular activities: Trekking, Nature walks, Photography"
128,Kandavara Lake,Chikkaballapur,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Serene lake popular for morning walks.,"It's a well-known lake, popular for jogging.","Visitors flock here for jogging, bird watching, photography -- a well-loved spot in Chikkaballapur district.",Category: Lake,Known for: Serene lake popular for morning walks,"Popular activities: Jogging, Bird watching, Photography"
129,Rangadhama Hill,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple with a challenging climb.,"It's a well-known temple, popular for steep trekking.","Visitors flock here for steep trekking, religious visit, viewpoint viewing -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Hilltop temple with a challenging climb,"Popular activities: Steep trekking, Religious visit, Viewpoint viewing"
130,Ghati Subramanya Temple,Chikkaballapur,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Famous temple where the deity is self-manifested.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, watching snake worship rituals, architecture study -- a well-loved spot in Chikkaballapur district.",Category: Temple,Known for: Famous temple where the deity is self-manifested,"Popular activities: Pilgrimage, Watching snake worship rituals, Architecture study"
131,Krishna Raja Sagara (KRS) Dam,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Engineering marvel and primary water source for the region.,"It's a well-known attraction, popular for viewing the dam.","Visitors flock here for viewing the dam, photography, learning about irrigation history -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Engineering marvel and primary water source for the region,"Popular activities: Viewing the dam, Photography, Learning about irrigation history"
132,Srirangapatna Island,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Historic town and the capital of Hyder Ali and Tipu Sultan.,"It's a well-known attraction, popular for heritage tour.","Visitors flock here for heritage tour, history study, photography -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Historic town and the capital of Hyder Ali and Tipu Sultan,"Popular activities: Heritage tour, History study, Photography"
133,Ranganathaswamy Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Ancient temple and one of the Pancharanga Kshetrams.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture photography, religious visit -- a well-loved spot in Mandya district.",Category: Temple,Known for: Ancient temple and one of the Pancharanga Kshetrams,"Popular activities: Pilgrimage, Architecture photography, Religious visit"
134,Daria Daulat Bagh,Mandya,"Somewhere in Karnataka, this palace holds a story worth uncovering.",The Summer Palace of Tipu Sultan built in teakwood.,"It's a well-known palace, popular for viewing murals and artifacts.","Visitors flock here for viewing murals and artifacts, museum tour, photography -- a well-loved spot in Mandya district.",Category: Palace,Known for: The Summer Palace of Tipu Sultan built in teakwood,"Popular activities: Viewing murals and artifacts, Museum tour, Photography"
135,Gumbaz,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Mausoleum of Tipu Sultan and his parents.,"It's a well-known attraction, popular for history tour.","Visitors flock here for history tour, architecture study, photography -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Mausoleum of Tipu Sultan and his parents,"Popular activities: History tour, Architecture study, Photography"
136,Melukote Cheluvanarayana Swamy Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Historic temple known for its Vairamudi festival.,"It's a well-known temple, popular for pilgrimage.","Visitors flock here for pilgrimage, architecture study, viewing temple jewelry -- a well-loved spot in Mandya district.",Category: Temple,Known for: Historic temple known for its Vairamudi festival,"Popular activities: Pilgrimage, Architecture study, Viewing temple jewelry"
137,Yoga Narasimha Swamy Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Hilltop temple in Melukote with panoramic views.,"It's a well-known temple, popular for uphill trekking.","Visitors flock here for uphill trekking, pilgrimage, photography -- a well-loved spot in Mandya district.",Category: Temple,Known for: Hilltop temple in Melukote with panoramic views,"Popular activities: Uphill trekking, Pilgrimage, Photography"
138,Kokkare Bellur,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Village famous for its coexistence with Painted Storks and Pelicans.,"It's a well-known attraction, popular for bird watching.","Visitors flock here for bird watching, village life experience, photography -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Village famous for its coexistence with Painted Storks and Pelicans,"Popular activities: Bird watching, Village life experience, Photography"
139,Sangama,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.","Confluence of the rivers Kaveri, Hemavati, and Lakshmana Tirtha.","It's a well-known attraction, popular for river bathing.","Visitors flock here for river bathing, coracle riding, picnic -- a well-loved spot in Mandya district.",Category: Attraction,"Known for: Confluence of the rivers Kaveri, Hemavati, and Lakshmana Tirtha","Popular activities: River bathing, Coracle riding, Picnic"
140,Balamuri & Yedamuri Falls,Mandya,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Small check dams on the Kaveri river.,"It's a well-known waterfall, popular for swimming in shallow waters.","Visitors flock here for swimming in shallow waters, photography, picnic -- a well-loved spot in Mandya district.",Category: Waterfall,Known for: Small check dams on the Kaveri river,"Popular activities: Swimming in shallow waters, Photography, Picnic"
141,Kere Thonnur,Mandya,"Somewhere in Karnataka, this lake holds a story worth uncovering.",Historical lake with religious and scenic significance.,"It's a well-known lake, popular for boating.","Visitors flock here for boating, swimming, history tour -- a well-loved spot in Mandya district.",Category: Lake,Known for: Historical lake with religious and scenic significance,"Popular activities: Boating, Swimming, History tour"
142,Adichunchanagiri Hills,Mandya,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Spiritual center and hill station.,"It's a well-known hill/viewpoint, popular for visiting the matha.","Visitors flock here for visiting the matha, trekking, peacock spotting -- a well-loved spot in Mandya district.",Category: Hill/Viewpoint,Known for: Spiritual center and hill station,"Popular activities: Visiting the matha, Trekking, Peacock spotting"
143,Panchakuta Basadi,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",10th-century Jain temple complex in Kambadahalli.,"It's a well-known temple, popular for history study.","Visitors flock here for history study, architecture photography -- a well-loved spot in Mandya district.",Category: Temple,Known for: 10th-century Jain temple complex in Kambadahalli,"Popular activities: History study, Architecture photography"
144,Karighatta Hill,Mandya,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Hilltop offering a view of the Mysore and Srirangapatna.,"It's a well-known hill/viewpoint, popular for trekking.","Visitors flock here for trekking, nature walks, pilgrimage -- a well-loved spot in Mandya district.",Category: Hill/Viewpoint,Known for: Hilltop offering a view of the Mysore and Srirangapatna,"Popular activities: Trekking, Nature walks, Pilgrimage"
145,Maddur Vada Hub,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Famous for its indigenous snack 'Maddur Vada'.,"It's a well-known attraction, popular for food tasting.","Visitors flock here for food tasting, shopping, local market visit -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Famous for its indigenous snack 'Maddur Vada',"Popular activities: Food tasting, Shopping, Local market visit"
146,Basaralu Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Intricately carved Hoysala temple dedicated to Mallikarjuna.,"It's a well-known temple, popular for architecture photography.","Visitors flock here for architecture photography, art appreciation -- a well-loved spot in Mandya district.",Category: Temple,Known for: Intricately carved Hoysala temple dedicated to Mallikarjuna,"Popular activities: Architecture photography, Art appreciation"
147,Hosaholalu Lakshminarayana Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",One of the most beautiful Hoysala temples in the district.,"It's a well-known temple, popular for history tour.","Visitors flock here for history tour, architecture study, photography -- a well-loved spot in Mandya district.",Category: Temple,Known for: One of the most beautiful Hoysala temples in the district,"Popular activities: History tour, Architecture study, Photography"
148,Venugopala Swamy Temple,Mandya,"Somewhere in Karnataka, this temple holds a story worth uncovering.",Submerged temple relocated to the banks of KRS Backwaters.,"It's a well-known temple, popular for photography.","Visitors flock here for photography, religious visit, sunset viewing -- a well-loved spot in Mandya district.",Category: Temple,Known for: Submerged temple relocated to the banks of KRS Backwaters,"Popular activities: Photography, Religious visit, Sunset viewing"
149,Pandavapura,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Town associated with the exile of the Pandavas.,"It's a well-known attraction, popular for history exploration.","Visitors flock here for history exploration, visiting the nearby hills -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Town associated with the exile of the Pandavas,"Popular activities: History exploration, Visiting the nearby hills"
150,Kuntibetta,Mandya,"Somewhere in Karnataka, this hill/viewpoint holds a story worth uncovering.",Two rocky hills ideal for night trekking.,"It's a well-known hill/viewpoint, popular for night trekking.","Visitors flock here for night trekking, rock climbing, camping -- a well-loved spot in Mandya district.",Category: Hill/Viewpoint,Known for: Two rocky hills ideal for night trekking,"Popular activities: Night trekking, Rock climbing, Camping"
151,Hemagiri Falls,Mandya,"Somewhere in Karnataka, this waterfall holds a story worth uncovering.",Waterfall formed on the Hemavati river.,"It's a well-known waterfall, popular for coracle riding.","Visitors flock here for coracle riding, picnic, photography -- a well-loved spot in Mandya district.",Category: Waterfall,Known for: Waterfall formed on the Hemavati river,"Popular activities: Coracle riding, Picnic, Photography"
152,Shimsha Hydroelectric Project,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",One of the oldest hydroelectric power plants in Asia.,"It's a well-known attraction, popular for educational tour.","Visitors flock here for educational tour, viewing the shimsha falls -- a well-loved spot in Mandya district.",Category: Attraction,Known for: One of the oldest hydroelectric power plants in Asia,"Popular activities: Educational tour, Viewing the Shimsha falls"
153,Paschima Vahini,Mandya,"Somewhere in Karnataka, this attraction holds a story worth uncovering.",Holy spot on the banks of Kaveri for ancestral rites.,"It's a well-known attraction, popular for spiritual visit.","Visitors flock here for spiritual visit, river-side relaxation -- a well-loved spot in Mandya district.",Category: Attraction,Known for: Holy spot on the banks of Kaveri for ancestral rites,"Popular activities: Spiritual visit, River-side relaxation"
